Solved # rounds = 1 in 6.15s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Team 19: 72, 73, 74, 75
Team 20: 76, 77, 78, 79
Team 21: 80, 81, 82, 83
Team 22: 84, 85, 86, 87
Team 23: 88, 89, 90, 91
Team 24: 92, 93, 94, 95
Team 25: 96, 97, 98, 99
Team 26: 100, 101, 102, 103
Team 27: 104, 105, 106, 107
Team 28: 108, 109, 110, 111
Team 29: 112, 113, 114, R
Team 30: 115, 116, 117, R
Team 31: 118, 119, 120, R
================================================================
Solved # rounds = 2 in 26.18s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Team 19: 72, 73, 74, 75
Team 20: 76, 77, 78, 79
Team 21: 80, 81, 82, 83
Team 22: 84, 85, 86, 87
Team 23: 88, 89, 90, 91
Team 24: 92, 93, 94, 95
Team 25: 96, 97, 98, 99
Team 26: 100, 101, 102, 103
Team 27: 104, 105, 106, 107
Team 28: 108, 109, 110, 111
Team 29: 112, 113, 114, R
Team 30: 115, 116, 117, R
Team 31: 118, 119, 120, R
Round 2
Team 1: 0, 27, 54, 70
Team 2: 1, 47, 110, R
Team 3: 2, 41, 78, 86
Team 4: 3, 37, 51, 91
Team 5: 4, 50, 72, 112
Team 6: 5, 28, 43, 61
Team 7: 6, 20, 46, 66
Team 8: 7, 13, 44, 57
Team 9: 8, 25, 40, 106
Team 10: 9, 77, 88, 117
Team 11: 10, 29, 38, 69
Team 12: 11, 21, 53, 101
Team 13: 12, 49, 68, 98
Team 14: 14, 23, 39, 42
Team 15: 15, 17, 96, 102
Team 16: 16, 82, 105, R
Team 17: 18, 30, 33, 80
Team 18: 19, 95, 97, 107
Team 19: 22, 73, 85, 109
Team 20: 24, 45, 64, 84
Team 21: 26, 48, 79, 92
Team 22: 31, 93, 111, 116
Team 23: 32, 36, 114, 120
Team 24: 34, 52, 59, 113
Team 25: 35, 63, 67, R
Team 26: 55, 58, 103, 104
Team 27: 56, 75, 81, 118
Team 28: 60, 76, 99, 108
Team 29: 62, 71, 87, 119
Team 30: 65, 74, 90, 115
Team 31: 83, 89, 94, 100
================================================================
Solved # rounds = 3 in 42.26s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Team 19: 72, 73, 74, 75
Team 20: 76, 77, 78, 79
Team 21: 80, 81, 82, 83
Team 22: 84, 85, 86, 87
Team 23: 88, 89, 90, 91
Team 24: 92, 93, 94, 95
Team 25: 96, 97, 98, 99
Team 26: 100, 101, 102, 103
Team 27: 104, 105, 106, 107
Team 28: 108, 109, 110, 111
Team 29: 112, 113, 114, R
Team 30: 115, 116, 117, R
Team 31: 118, 119, 120, R
Round 2
Team 1: 0, 27, 54, 70
Team 2: 1, 47, 110, R
Team 3: 2, 41, 78, 86
Team 4: 3, 37, 51, 91
Team 5: 4, 50, 72, 112
Team 6: 5, 28, 43, 61
