Solved # rounds = 1 in 2.47s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, R
Team 19: 71, 72, 73, R
Team 20: 74, 75, 76, R
================================================================
Solved # rounds = 2 in 5.53s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, R
Team 19: 71, 72, 73, R
Team 20: 74, 75, 76, R
Round 2
Team 1: 0, 6, 38, 75
Team 2: 1, 20, 57, 62
Team 3: 2, 12, 19, 33
Team 4: 3, 4, 8, 18
Team 5: 5, 35, 46, 71
Team 6: 7, 25, 34, 53
Team 7: 9, 28, 42, 61
Team 8: 10, 14, 44, R
Team 9: 11, 63, 66, R
Team 10: 13, 26, 60, 76
Team 11: 15, 22, 29, 45
Team 12: 16, 30, 37, 48
Team 13: 17, 43, 68, 74
Team 14: 21, 36, 52, 69
Team 15: 23, 58, 67, 72
Team 16: 24, 32, 40, 59
Team 17: 27, 51, 65, 70
Team 18: 31, 41, 47, 56
Team 19: 39, 50, 54, R
Team 20: 49, 55, 64, 73
================================================================
Solved # rounds = 3 in 8.97s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, R
Team 19: 71, 72, 73, R
Team 20: 74, 75, 76, R
Round 2
Team 1: 0, 6, 38, 75
Team 2: 1, 20, 57, 62
Team 3: 2, 12, 19, 33
Team 4: 3, 4, 8, 18
Team 5: 5, 35, 46, 71
Team 6: 7, 25, 34, 53
Team 7: 9, 28, 42, 61
Team 8: 10, 14, 44, R
Team 9: 11, 63, 66, R
Team 10: 13, 26, 60, 76
Team 11: 15, 22, 29, 45
Team 12: 16, 30, 37, 48
Team 13: 17, 43, 68, 74
Team 14: 21, 36, 52, 69
Team 15: 23, 58, 67, 72
Team 16: 24, 32, 40, 59
Team 17: 27, 51, 65, 70
Team 18: 31, 41, 47, 56
Team 19: 39, 50, 54, R
Team 20: 49, 55, 64, 73
Round 3
Team 1: 0, 10, 46, 59
Team 2: 1, 9, 32, 45
Team 3: 2, 39, 40, 70
Team 4: 3, 26, 43, R
Team 5: 4, 15, 51, 63
Team 6: 5, 31, 73, 76
Team 7: 6, 21, 29, 58
Team 8: 7, 17, 24, 55
Team 9: 8, 47, 62, 74
Team 10: 11, 49, 67, 75
Team 11: 12, 18, 44, 61
Team 12: 13, 23, 41, 64
Team 13: 14, 42, 53, 69
Team 14: 16, 27, 33, 52
Team 15: 19, 20, 30, R
Team 16: 22, 34, 65, 71
Team 17: 25, 37, 56, R
Team 18: 28, 35, 54, 66
Team 19: 36, 48, 60, 72
Team 20: 38, 50, 57, 68
================================================================
Solved # rounds = 4 in 10.97s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
