Solved # rounds = 1 in 5.43s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Team 19: 72, 73, 74, 75
Team 20: 76, 77, 78, 79
Team 21: 80, 81, 82, 83
Team 22: 84, 85, 86, 87
Team 23: 88, 89, 90, 91
Team 24: 92, 93, 94, 95
Team 25: 96, 97, 98, 99
Team 26: 100, 101, 102, 103
Team 27: 104, 105, 106, 107
Team 28: 108, 109, 110, 111
Team 29: 112, 113, 114, R
================================================================
Solved # rounds = 2 in 16.26s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Team 19: 72, 73, 74, 75
Team 20: 76, 77, 78, 79
Team 21: 80, 81, 82, 83
Team 22: 84, 85, 86, 87
Team 23: 88, 89, 90, 91
Team 24: 92, 93, 94, 95
Team 25: 96, 97, 98, 99
Team 26: 100, 101, 102, 103
Team 27: 104, 105, 106, 107
Team 28: 108, 109, 110, 111
Team 29: 112, 113, 114, R
Round 2
Team 1: 0, 15, 67, 106
Team 2: 1, 77, 93, 107
Team 3: 2, 24, 47, 86
Team 4: 3, 7, 34, 72
Team 5: 4, 10, 71, 87
Team 6: 5, 33, 66, 78
Team 7: 6, 37, 53, 88
Team 8: 8, 58, 95, 101
Team 9: 9, 39, 48, 56
Team 10: 11, 40, 50, 54
Team 11: 12, 49, 69, 80
Team 12: 13, 18, 20, 111
Team 13: 14, 68, 83, 102
Team 14: 16, 32, 52, 96
Team 15: 17, 82, 91, 98
Team 16: 19, 35, 64, 92
Team 17: 21, 42, 61, 76
Team 18: 22, 60, 85, 112
Team 19: 23, 74, 105, 108
Team 20: 25, 65, 81, 104
Team 21: 26, 41, 51, 73
Team 22: 27, 28, 63, 113
Team 23: 29, 38, 103, 110
Team 24: 30, 45, 84, 89
Team 25: 31, 90, 94, 99
Team 26: 36, 44, 57, 109
Team 27: 43, 55, 62, R
Team 28: 46, 79, 97, 114
Team 29: 59, 70, 75, 100
================================================================
Solved # rounds = 3 in 17.31s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Team 19: 72, 73, 74, 75
Team 20: 76, 77, 78, 79
Team 21: 80, 81, 82, 83
Team 22: 84, 85, 86, 87
Team 23: 88, 89, 90, 91
Team 24: 92, 93, 94, 95
Team 25: 96, 97, 98, 99
Team 26: 100, 101, 102, 103
Team 27: 104, 105, 106, 107
Team 28: 108, 109, 110, 111
Team 29: 112, 113, 114, R
Round 2
Team 1: 0, 15, 67, 106
Team 2: 1, 77, 93, 107
Team 3: 2, 24, 47, 86
Team 4: 3, 7, 34, 72
Team 5: 4, 10, 71, 87
Team 6: 5, 33, 66, 78
Team 7: 6, 37, 53, 88
Team 8: 8, 58, 95, 101
Team 9: 9, 39, 48, 56
Team 10: 11, 40, 50, 54
Team 11: 12, 49, 69, 80
Team 12: 13, 18, 20, 111
Team 13: 14, 68, 83, 102
Team 14: 16, 32, 52, 96
