Solved # rounds = 1 in 2.83s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Team 19: 72, 73, 74, 75
Team 20: 76, 77, 78, R
Team 21: 79, 80, 81, R
================================================================
Solved # rounds = 2 in 7.89s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Team 19: 72, 73, 74, 75
Team 20: 76, 77, 78, R
Team 21: 79, 80, 81, R
Round 2
Team 1: 0, 12, 20, R
Team 2: 1, 18, 52, 77
Team 3: 2, 24, 55, 73
Team 4: 3, 43, 58, 65
Team 5: 4, 25, 59, 76
Team 6: 5, 42, 63, 64
Team 7: 6, 32, 45, 67
Team 8: 7, 26, 75, 81
Team 9: 8, 27, 30, 60
Team 10: 9, 14, 31, 34
Team 11: 10, 40, 71, 74
Team 12: 11, 23, 47, 53
Team 13: 13, 17, 22, 68
Team 14: 15, 33, 38, 62
Team 15: 16, 54, 56, 70
Team 16: 19, 28, 39, 50
Team 17: 21, 41, 46, 57
Team 18: 29, 35, 72, R
Team 19: 36, 44, 51, 79
Team 20: 37, 48, 61, 78
Team 21: 49, 66, 69, 80
================================================================
Solved # rounds = 3 in 10.26s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Team 19: 72, 73, 74, 75
Team 20: 76, 77, 78, R
Team 21: 79, 80, 81, R
Round 2
Team 1: 0, 12, 20, R
Team 2: 1, 18, 52, 77
Team 3: 2, 24, 55, 73
Team 4: 3, 43, 58, 65
Team 5: 4, 25, 59, 76
Team 6: 5, 42, 63, 64
Team 7: 6, 32, 45, 67
Team 8: 7, 26, 75, 81
Team 9: 8, 27, 30, 60
Team 10: 9, 14, 31, 34
Team 11: 10, 40, 71, 74
Team 12: 11, 23, 47, 53
Team 13: 13, 17, 22, 68
Team 14: 15, 33, 38, 62
Team 15: 16, 54, 56, 70
Team 16: 19, 28, 39, 50
Team 17: 21, 41, 46, 57
Team 18: 29, 35, 72, R
Team 19: 36, 44, 51, 79
Team 20: 37, 48, 61, 78
Team 21: 49, 66, 69, 80
Round 3
Team 1: 0, 60, 73, 79
Team 2: 1, 22, 36, 46
Team 3: 2, 23, 27, 78
Team 4: 3, 10, 20, 25
Team 5: 4, 16, 53, 77
Team 6: 5, 17, 30, 74
Team 7: 6, 33, 37, 80
Team 8: 7, 8, 35, 61
Team 9: 9, 12, 47, 48
Team 10: 11, 19, 24, 69
Team 11: 13, 49, 52, 56
Team 12: 14, 44, 62, 66
Team 13: 15, 34, 41, R
Team 14: 18, 39, 51, 70
Team 15: 21, 40, 63, 75
Team 16: 26, 45, 58, R
Team 17: 28, 32, 68, 72
Team 18: 29, 42, 65, 71
Team 19: 31, 38, 57, 67
Team 20: 43, 55, 59, 64
Team 21: 50, 54, 76, 81
================================================================
Solved # rounds = 4 in 12.36s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
