Solved # rounds = 1 in 2.37s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Team 19: 72, 73, 74, 75
Team 20: 76, 77, 78, R
================================================================
Solved # rounds = 2 in 4.62s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Team 19: 72, 73, 74, 75
Team 20: 76, 77, 78, R
Round 2
Team 1: 0, 34, 59, 76
Team 2: 1, 36, 57, 73
Team 3: 2, 4, 16, 46
Team 4: 3, 35, 62, 78
Team 5: 5, 30, 53, 66
Team 6: 6, 18, 32, 39
Team 7: 7, 28, 50, 64
Team 8: 8, 13, 21, 44
Team 9: 9, 15, 45, 65
Team 10: 10, 38, 42, 68
Team 11: 11, 20, 26, 58
Team 12: 12, 24, 56, 67
Team 13: 14, 27, 41, 55
Team 14: 17, 22, 33, 71
Team 15: 19, 37, 51, 72
Team 16: 23, 61, 70, 75
Team 17: 25, 43, 49, 63
Team 18: 29, 47, 69, 77
Team 19: 31, 48, 54, 60
Team 20: 40, 52, 74, R
================================================================
Solved # rounds = 3 in 6.81s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Team 19: 72, 73, 74, 75
Team 20: 76, 77, 78, R
Round 2
Team 1: 0, 34, 59, 76
Team 2: 1, 36, 57, 73
Team 3: 2, 4, 16, 46
Team 4: 3, 35, 62, 78
Team 5: 5, 30, 53, 66
Team 6: 6, 18, 32, 39
Team 7: 7, 28, 50, 64
Team 8: 8, 13, 21, 44
Team 9: 9, 15, 45, 65
Team 10: 10, 38, 42, 68
Team 11: 11, 20, 26, 58
Team 12: 12, 24, 56, 67
Team 13: 14, 27, 41, 55
Team 14: 17, 22, 33, 71
Team 15: 19, 37, 51, 72
Team 16: 23, 61, 70, 75
Team 17: 25, 43, 49, 63
Team 18: 29, 47, 69, 77
Team 19: 31, 48, 54, 60
Team 20: 40, 52, 74, R
Round 3
Team 1: 0, 21, 48, 77
Team 2: 1, 35, 55, 63
Team 3: 2, 11, 12, 51
Team 4: 3, 24, 31, 69
Team 5: 4, 13, 18, 58
Team 6: 5, 37, 49, 73
Team 7: 6, 20, 66, 71
Team 8: 7, 29, 53, 72
Team 9: 8, 36, 43, R
Team 10: 9, 17, 41, 59
Team 11: 10, 45, 57, 76
Team 12: 14, 39, 64, 75
Team 13: 15, 34, 61, 68
Team 14: 16, 22, 27, 47
Team 15: 19, 42, 50, 74
Team 16: 23, 25, 32, 40
Team 17: 26, 46, 56, 70
Team 18: 28, 52, 62, 67
Team 19: 30, 33, 38, 54
Team 20: 44, 60, 65, 78
================================================================
Solved # rounds = 4 in 11.65s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
