Solved # rounds = 1 in 2.18s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Team 19: 72, 73, 74, 75
================================================================
Solved # rounds = 2 in 3.91s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Team 19: 72, 73, 74, 75
Round 2
Team 1: 0, 14, 32, 61
Team 2: 1, 23, 47, 72
Team 3: 2, 39, 52, 68
Team 4: 3, 43, 58, 64
Team 5: 4, 57, 67, 73
Team 6: 5, 11, 17, 75
Team 7: 6, 12, 42, 63
Team 8: 7, 19, 20, 46
Team 9: 8, 13, 37, 69
Team 10: 9, 18, 22, 65
Team 11: 10, 24, 34, 38
Team 12: 15, 29, 53, 70
Team 13: 16, 28, 49, 62
Team 14: 21, 45, 51, 60
Team 15: 25, 30, 35, 48
Team 16: 26, 33, 41, 71
Team 17: 27, 44, 50, 59
Team 18: 31, 36, 54, 74
Team 19: 40, 55, 56, 66
================================================================
Solved # rounds = 3 in 5.79s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Team 19: 72, 73, 74, 75
Round 2
Team 1: 0, 14, 32, 61
Team 2: 1, 23, 47, 72
Team 3: 2, 39, 52, 68
Team 4: 3, 43, 58, 64
Team 5: 4, 57, 67, 73
Team 6: 5, 11, 17, 75
Team 7: 6, 12, 42, 63
Team 8: 7, 19, 20, 46
Team 9: 8, 13, 37, 69
Team 10: 9, 18, 22, 65
Team 11: 10, 24, 34, 38
Team 12: 15, 29, 53, 70
Team 13: 16, 28, 49, 62
Team 14: 21, 45, 51, 60
Team 15: 25, 30, 35, 48
Team 16: 26, 33, 41, 71
Team 17: 27, 44, 50, 59
Team 18: 31, 36, 54, 74
Team 19: 40, 55, 56, 66
Round 3
Team 1: 0, 59, 62, 69
Team 2: 1, 49, 54, 60
Team 3: 2, 30, 51, 61
Team 4: 3, 10, 27, 53
Team 5: 4, 19, 34, 37
Team 6: 5, 25, 44, 70
Team 7: 6, 8, 29, 65
Team 8: 7, 18, 26, 73
Team 9: 9, 36, 43, 47
Team 10: 11, 20, 28, 56
Team 11: 12, 21, 57, 68
Team 12: 13, 16, 41, 58
Team 13: 14, 31, 33, 72
Team 14: 15, 17, 38, 40
Team 15: 22, 35, 63, 64
Team 16: 23, 39, 46, 74
Team 17: 24, 45, 67, 75
Team 18: 32, 50, 52, 66
Team 19: 42, 48, 55, 71
================================================================
Solved # rounds = 4 in 7.76s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
