Solved # rounds = 1 in 3.10s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Team 19: 72, 73, 74, 75
Team 20: 76, 77, 78, 79
Team 21: 80, 81, 82, 83
Team 22: 84, 85, 86, 87
================================================================
Solved # rounds = 2 in 5.91s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Team 19: 72, 73, 74, 75
Team 20: 76, 77, 78, 79
Team 21: 80, 81, 82, 83
Team 22: 84, 85, 86, 87
Round 2
Team 1: 0, 36, 64, 75
Team 2: 1, 4, 8, 45
Team 3: 2, 43, 46, 53
Team 4: 3, 7, 42, 54
Team 5: 5, 26, 80, 87
Team 6: 6, 22, 63, 85
Team 7: 9, 40, 48, 72
Team 8: 10, 33, 39, 58
Team 9: 11, 21, 60, 77
Team 10: 12, 38, 41, 71
Team 11: 13, 52, 56, 61
Team 12: 14, 31, 37, 84
Team 13: 15, 20, 25, 35
Team 14: 16, 28, 57, 81
Team 15: 17, 55, 65, 68
Team 16: 18, 30, 79, 86
Team 17: 19, 23, 27, 59
Team 18: 24, 50, 67, 82
Team 19: 29, 32, 70, 78
Team 20: 34, 47, 66, 74
Team 21: 44, 49, 62, 76
Team 22: 51, 69, 73, 83
================================================================
Solved # rounds = 3 in 8.31s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Team 19: 72, 73, 74, 75
Team 20: 76, 77, 78, 79
Team 21: 80, 81, 82, 83
Team 22: 84, 85, 86, 87
Round 2
Team 1: 0, 36, 64, 75
Team 2: 1, 4, 8, 45
Team 3: 2, 43, 46, 53
Team 4: 3, 7, 42, 54
Team 5: 5, 26, 80, 87
Team 6: 6, 22, 63, 85
Team 7: 9, 40, 48, 72
Team 8: 10, 33, 39, 58
Team 9: 11, 21, 60, 77
Team 10: 12, 38, 41, 71
Team 11: 13, 52, 56, 61
Team 12: 14, 31, 37, 84
Team 13: 15, 20, 25, 35
Team 14: 16, 28, 57, 81
Team 15: 17, 55, 65, 68
Team 16: 18, 30, 79, 86
Team 17: 19, 23, 27, 59
Team 18: 24, 50, 67, 82
Team 19: 29, 32, 70, 78
Team 20: 34, 47, 66, 74
Team 21: 44, 49, 62, 76
Team 22: 51, 69, 73, 83
Round 3
Team 1: 0, 14, 50, 58
Team 2: 1, 22, 35, 38
Team 3: 2, 9, 39, 76
Team 4: 3, 11, 46, 65
Team 5: 4, 30, 59, 69
Team 6: 5, 15, 32, 42
Team 7: 6, 24, 34, 75
Team 8: 7, 13, 66, 77
Team 9: 8, 37, 64, 72
Team 10: 10, 12, 57, 79
Team 11: 16, 36, 51, 53
Team 12: 17, 26, 78, 84
Team 13: 18, 25, 74, 85
Team 14: 19, 52, 68, 82
Team 15: 20, 44, 61, 73
Team 16: 21, 28, 56, 63
Team 17: 23, 47, 60, 87
Team 18: 27, 48, 67, 81
Team 19: 29, 40, 45, 62
