Solved # rounds = 1 in 2.02s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
================================================================
Solved # rounds = 2 in 3.41s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Round 2
Team 1: 0, 33, 40, 44
Team 2: 1, 6, 37, 41
Team 3: 2, 16, 28, 48
Team 4: 3, 8, 22, 64
Team 5: 4, 43, 54, 65
Team 6: 5, 15, 30, 49
Team 7: 7, 29, 59, 62
Team 8: 9, 50, 63, 67
Team 9: 10, 12, 45, 69
Team 10: 11, 23, 53, 61
Team 11: 13, 24, 32, 56
Team 12: 14, 21, 27, 42
Team 13: 17, 35, 38, 60
Team 14: 18, 51, 57, 70
Team 15: 19, 20, 26, 47
Team 16: 25, 34, 46, 55
Team 17: 31, 39, 66, 68
Team 18: 36, 52, 58, 71
================================================================
Solved # rounds = 3 in 5.60s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Round 2
Team 1: 0, 33, 40, 44
Team 2: 1, 6, 37, 41
Team 3: 2, 16, 28, 48
Team 4: 3, 8, 22, 64
Team 5: 4, 43, 54, 65
Team 6: 5, 15, 30, 49
Team 7: 7, 29, 59, 62
Team 8: 9, 50, 63, 67
Team 9: 10, 12, 45, 69
Team 10: 11, 23, 53, 61
Team 11: 13, 24, 32, 56
Team 12: 14, 21, 27, 42
Team 13: 17, 35, 38, 60
Team 14: 18, 51, 57, 70
Team 15: 19, 20, 26, 47
Team 16: 25, 34, 46, 55
Team 17: 31, 39, 66, 68
Team 18: 36, 52, 58, 71
Round 3
Team 1: 0, 8, 28, 42
Team 2: 1, 14, 32, 51
Team 3: 2, 9, 55, 60
Team 4: 3, 15, 44, 58
Team 5: 4, 35, 39, 52
Team 6: 5, 29, 33, 71
Team 7: 6, 21, 26, 54
Team 8: 7, 31, 34, 47
Team 9: 10, 37, 61, 65
Team 10: 11, 16, 20, 62
Team 11: 12, 40, 49, 63
Team 12: 13, 22, 36, 59
Team 13: 17, 43, 45, 64
Team 14: 18, 24, 67, 68
Team 15: 19, 27, 50, 70
Team 16: 23, 38, 56, 69
Team 17: 25, 41, 48, 53
Team 18: 30, 46, 57, 66
================================================================
Solved # rounds = 4 in 8.24s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Round 2
Team 1: 0, 33, 40, 44
