Solved # rounds = 1 in 3.72s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Team 19: 72, 73, 74, 75
Team 20: 76, 77, 78, 79
Team 21: 80, 81, 82, 83
Team 22: 84, 85, 86, 87
Team 23: 88, 89, 90, 91
Team 24: 92, 93, 94, R
Team 25: 95, 96, 97, R
================================================================
Solved # rounds = 2 in 10.11s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Team 19: 72, 73, 74, 75
Team 20: 76, 77, 78, 79
Team 21: 80, 81, 82, 83
Team 22: 84, 85, 86, 87
Team 23: 88, 89, 90, 91
Team 24: 92, 93, 94, R
Team 25: 95, 96, 97, R
Round 2
Team 1: 0, 19, 64, 96
Team 2: 1, 42, 69, 80
Team 3: 2, 53, 73, 77
Team 4: 3, 51, 57, 76
Team 5: 4, 14, 31, 34
Team 6: 5, 10, 22, 83
Team 7: 6, 15, 30, 41
Team 8: 7, 38, 59, 70
Team 9: 8, 16, 58, 94
Team 10: 9, 23, 27, 87
Team 11: 11, 21, 52, 92
Team 12: 12, 26, 28, 84
Team 13: 13, 45, 55, 81
Team 14: 17, 37, 56, R
Team 15: 18, 36, 50, 75
Team 16: 20, 33, 65, 85
Team 17: 24, 46, 68, 97
Team 18: 25, 48, 78, 91
Team 19: 29, 40, 54, 86
Team 20: 32, 62, 72, 89
Team 21: 35, 39, 67, 88
Team 22: 43, 47, 63, 79
Team 23: 44, 74, 90, R
Team 24: 49, 60, 82, 95
Team 25: 61, 66, 71, 93
================================================================
Solved # rounds = 3 in 14.14s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Team 19: 72, 73, 74, 75
Team 20: 76, 77, 78, 79
Team 21: 80, 81, 82, 83
Team 22: 84, 85, 86, 87
Team 23: 88, 89, 90, 91
Team 24: 92, 93, 94, R
Team 25: 95, 96, 97, R
Round 2
Team 1: 0, 19, 64, 96
Team 2: 1, 42, 69, 80
Team 3: 2, 53, 73, 77
Team 4: 3, 51, 57, 76
Team 5: 4, 14, 31, 34
Team 6: 5, 10, 22, 83
Team 7: 6, 15, 30, 41
Team 8: 7, 38, 59, 70
Team 9: 8, 16, 58, 94
Team 10: 9, 23, 27, 87
Team 11: 11, 21, 52, 92
Team 12: 12, 26, 28, 84
Team 13: 13, 45, 55, 81
Team 14: 17, 37, 56, R
Team 15: 18, 36, 50, 75
Team 16: 20, 33, 65, 85
Team 17: 24, 46, 68, 97
Team 18: 25, 48, 78, 91
Team 19: 29, 40, 54, 86
Team 20: 32, 62, 72, 89
Team 21: 35, 39, 67, 88
Team 22: 43, 47, 63, 79
Team 23: 44, 74, 90, R
Team 24: 49, 60, 82, 95
Team 25: 61, 66, 71, 93
Round 3
Team 1: 0, 18, 76, 95
Team 2: 1, 36, 47, 70
Team 3: 2, 29, 37, 94
Team 4: 3, 5, 42, 52
Team 5: 4, 25, 39, 92
