Solved # rounds = 1 in 3.18s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Team 19: 72, 73, 74, 75
Team 20: 76, 77, 78, 79
Team 21: 80, 81, 82, 83
Team 22: 84, 85, 86, 87
Team 23: 88, 89, 90, 91
================================================================
Solved # rounds = 2 in 6.08s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Team 19: 72, 73, 74, 75
Team 20: 76, 77, 78, 79
Team 21: 80, 81, 82, 83
Team 22: 84, 85, 86, 87
Team 23: 88, 89, 90, 91
Round 2
Team 1: 0, 7, 13, 22
Team 2: 1, 9, 42, 60
Team 3: 2, 32, 39, 90
Team 4: 3, 54, 62, 72
Team 5: 4, 68, 78, 86
Team 6: 5, 15, 52, 66
Team 7: 6, 17, 20, 28
Team 8: 8, 63, 71, 84
Team 9: 10, 18, 37, 89
Team 10: 11, 26, 38, 49
Team 11: 12, 40, 45, 53
Team 12: 14, 31, 34, 67
Team 13: 16, 21, 43, 51
Team 14: 19, 24, 59, 82
Team 15: 23, 27, 46, 48
Team 16: 25, 57, 75, 83
Team 17: 29, 35, 65, 76
Team 18: 30, 36, 61, 77
Team 19: 33, 50, 55, 88
Team 20: 41, 64, 73, 87
Team 21: 44, 58, 81, 91
Team 22: 47, 56, 69, 85
Team 23: 70, 74, 79, 80
================================================================
Solved # rounds = 3 in 9.16s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Team 19: 72, 73, 74, 75
Team 20: 76, 77, 78, 79
Team 21: 80, 81, 82, 83
Team 22: 84, 85, 86, 87
Team 23: 88, 89, 90, 91
Round 2
Team 1: 0, 7, 13, 22
Team 2: 1, 9, 42, 60
Team 3: 2, 32, 39, 90
Team 4: 3, 54, 62, 72
Team 5: 4, 68, 78, 86
Team 6: 5, 15, 52, 66
Team 7: 6, 17, 20, 28
Team 8: 8, 63, 71, 84
Team 9: 10, 18, 37, 89
Team 10: 11, 26, 38, 49
Team 11: 12, 40, 45, 53
Team 12: 14, 31, 34, 67
Team 13: 16, 21, 43, 51
Team 14: 19, 24, 59, 82
Team 15: 23, 27, 46, 48
Team 16: 25, 57, 75, 83
Team 17: 29, 35, 65, 76
Team 18: 30, 36, 61, 77
Team 19: 33, 50, 55, 88
Team 20: 41, 64, 73, 87
Team 21: 44, 58, 81, 91
Team 22: 47, 56, 69, 85
Team 23: 70, 74, 79, 80
Round 3
Team 1: 0, 33, 41, 86
Team 2: 1, 63, 78, 85
Team 3: 2, 20, 70, 83
Team 4: 3, 36, 65, 80
Team 5: 4, 18, 34, 77
Team 6: 5, 8, 17, 64
Team 7: 6, 39, 44, 57
Team 8: 7, 12, 23, 49
Team 9: 9, 16, 28, 56
Team 10: 10, 62, 68, 74
Team 11: 11, 66, 72, 82
Team 12: 13, 21, 54, 71
Team 13: 14, 45, 73, 81
Team 14: 15, 31, 47, 90
