Solved # rounds = 1 in 2.89s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Team 19: 72, 73, 74, 75
Team 20: 76, 77, 78, 79
Team 21: 80, 81, 82, R
Team 22: 83, 84, 85, R
================================================================
Solved # rounds = 2 in 5.88s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Team 19: 72, 73, 74, 75
Team 20: 76, 77, 78, 79
Team 21: 80, 81, 82, R
Team 22: 83, 84, 85, R
Round 2
Team 1: 0, 37, 41, 50
Team 2: 1, 23, 27, 38
Team 3: 2, 22, 36, 62
Team 4: 3, 49, 72, 84
Team 5: 4, 12, 26, 32
Team 6: 5, 29, 35, 75
Team 7: 6, 10, 17, 55
Team 8: 7, 40, 61, 74
Team 9: 8, 13, 60, 64
Team 10: 9, 52, 66, 80
Team 11: 11, 28, 56, 70
Team 12: 14, 33, 54, 57
Team 13: 15, 34, 63, R
Team 14: 16, 20, 51, 85
Team 15: 18, 43, 53, R
Team 16: 19, 21, 44, 71
Team 17: 24, 30, 46, 58
Team 18: 25, 68, 76, 82
Team 19: 31, 42, 59, 77
Team 20: 39, 45, 81, 83
Team 21: 47, 65, 69, 79
Team 22: 48, 67, 73, 78
================================================================
Solved # rounds = 3 in 10.43s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Team 19: 72, 73, 74, 75
Team 20: 76, 77, 78, 79
Team 21: 80, 81, 82, R
Team 22: 83, 84, 85, R
Round 2
Team 1: 0, 37, 41, 50
Team 2: 1, 23, 27, 38
Team 3: 2, 22, 36, 62
Team 4: 3, 49, 72, 84
Team 5: 4, 12, 26, 32
Team 6: 5, 29, 35, 75
Team 7: 6, 10, 17, 55
Team 8: 7, 40, 61, 74
Team 9: 8, 13, 60, 64
Team 10: 9, 52, 66, 80
Team 11: 11, 28, 56, 70
Team 12: 14, 33, 54, 57
Team 13: 15, 34, 63, R
Team 14: 16, 20, 51, 85
Team 15: 18, 43, 53, R
Team 16: 19, 21, 44, 71
Team 17: 24, 30, 46, 58
Team 18: 25, 68, 76, 82
Team 19: 31, 42, 59, 77
Team 20: 39, 45, 81, 83
Team 21: 47, 65, 69, 79
Team 22: 48, 67, 73, 78
Round 3
Team 1: 0, 30, 35, 71
Team 2: 1, 41, 44, 83
Team 3: 2, 16, 27, 84
Team 4: 3, 8, 42, R
Team 5: 4, 52, 59, 69
Team 6: 5, 18, 47, 57
Team 7: 6, 32, 46, 62
Team 8: 7, 14, 22, 78
Team 9: 9, 21, 45, 50
Team 10: 10, 33, 40, 76
Team 11: 11, 38, 43, 67
Team 12: 12, 28, 48, 79
Team 13: 13, 23, 25, 81
Team 14: 15, 51, 54, 58
Team 15: 17, 31, 53, 73
Team 16: 19, 65, 70, R
Team 17: 20, 29, 39, 55
Team 18: 24, 49, 60, 75
Team 19: 26, 66, 72, 82
Team 20: 34, 36, 61, 85
