Solved # rounds = 1 in 4.19s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Team 19: 72, 73, 74, 75
Team 20: 76, 77, 78, 79
Team 21: 80, 81, 82, 83
Team 22: 84, 85, 86, 87
Team 23: 88, 89, 90, 91
Team 24: 92, 93, 94, 95
Team 25: 96, 97, 98, 99
Team 26: 100, 101, 102, 103
================================================================
Solved # rounds = 2 in 8.07s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Team 19: 72, 73, 74, 75
Team 20: 76, 77, 78, 79
Team 21: 80, 81, 82, 83
Team 22: 84, 85, 86, 87
Team 23: 88, 89, 90, 91
Team 24: 92, 93, 94, 95
Team 25: 96, 97, 98, 99
Team 26: 100, 101, 102, 103
Round 2
Team 1: 0, 21, 57, 64
Team 2: 1, 34, 36, 65
Team 3: 2, 11, 37, 48
Team 4: 3, 33, 41, 78
Team 5: 4, 14, 42, 94
Team 6: 5, 39, 88, 100
Team 7: 6, 80, 90, 102
Team 8: 7, 45, 71, 86
Team 9: 8, 19, 74, 98
Team 10: 9, 40, 76, 87
Team 11: 10, 27, 29, 53
Team 12: 12, 62, 66, 91
Team 13: 13, 18, 20, 92
Team 14: 15, 35, 69, 95
Team 15: 16, 31, 56, 84
Team 16: 17, 22, 67, 85
Team 17: 23, 43, 51, 60
Team 18: 24, 50, 73, 97
Team 19: 25, 32, 59, 68
Team 20: 26, 58, 93, 101
Team 21: 28, 52, 70, 82
Team 22: 30, 44, 72, 77
Team 23: 38, 49, 63, 103
Team 24: 46, 75, 81, 99
Team 25: 47, 54, 83, 96
Team 26: 55, 61, 79, 89
================================================================
Solved # rounds = 3 in 13.00s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, 63
Team 17: 64, 65, 66, 67
Team 18: 68, 69, 70, 71
Team 19: 72, 73, 74, 75
Team 20: 76, 77, 78, 79
Team 21: 80, 81, 82, 83
Team 22: 84, 85, 86, 87
Team 23: 88, 89, 90, 91
Team 24: 92, 93, 94, 95
Team 25: 96, 97, 98, 99
Team 26: 100, 101, 102, 103
Round 2
Team 1: 0, 21, 57, 64
Team 2: 1, 34, 36, 65
Team 3: 2, 11, 37, 48
Team 4: 3, 33, 41, 78
Team 5: 4, 14, 42, 94
Team 6: 5, 39, 88, 100
Team 7: 6, 80, 90, 102
Team 8: 7, 45, 71, 86
Team 9: 8, 19, 74, 98
Team 10: 9, 40, 76, 87
Team 11: 10, 27, 29, 53
Team 12: 12, 62, 66, 91
Team 13: 13, 18, 20, 92
Team 14: 15, 35, 69, 95
Team 15: 16, 31, 56, 84
Team 16: 17, 22, 67, 85
Team 17: 23, 43, 51, 60
Team 18: 24, 50, 73, 97
Team 19: 25, 32, 59, 68
Team 20: 26, 58, 93, 101
Team 21: 28, 52, 70, 82
Team 22: 30, 44, 72, 77
Team 23: 38, 49, 63, 103
Team 24: 46, 75, 81, 99
Team 25: 47, 54, 83, 96
