Solved # rounds = 1 in 1.43s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, R
================================================================
Solved # rounds = 2 in 3.64s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, R
Round 2
Team 1: 0, 9, 35, 37
Team 2: 1, 31, 47, 61
Team 3: 2, 4, 20, 46
Team 4: 3, 12, 30, 48
Team 5: 5, 18, 32, 43
Team 6: 6, 16, 21, 49
Team 7: 7, 25, 28, 42
Team 8: 8, 19, 39, 62
Team 9: 10, 33, 50, 55
Team 10: 11, 13, 45, 51
Team 11: 14, 17, 36, 41
Team 12: 15, 26, 38, R
Team 13: 22, 52, 58, 60
Team 14: 23, 29, 53, 56
Team 15: 24, 40, 44, 59
Team 16: 27, 34, 54, 57
================================================================
Solved # rounds = 3 in 5.00s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, R
Round 2
Team 1: 0, 9, 35, 37
Team 2: 1, 31, 47, 61
Team 3: 2, 4, 20, 46
Team 4: 3, 12, 30, 48
Team 5: 5, 18, 32, 43
Team 6: 6, 16, 21, 49
Team 7: 7, 25, 28, 42
Team 8: 8, 19, 39, 62
Team 9: 10, 33, 50, 55
Team 10: 11, 13, 45, 51
Team 11: 14, 17, 36, 41
Team 12: 15, 26, 38, R
Team 13: 22, 52, 58, 60
Team 14: 23, 29, 53, 56
Team 15: 24, 40, 44, 59
Team 16: 27, 34, 54, 57
Round 3
Team 1: 0, 24, 32, 61
Team 2: 1, 15, 20, 30
Team 3: 2, 9, 17, 55
Team 4: 3, 4, 22, 51
Team 5: 5, 12, 52, 57
Team 6: 6, 18, 36, 47
Team 7: 7, 26, 34, 58
Team 8: 8, 50, 56, 60
Team 9: 10, 21, 31, 42
Team 10: 11, 23, 38, 46
Team 11: 13, 16, 25, 59
Team 12: 14, 28, 35, 45
Team 13: 19, 40, 49, R
Team 14: 27, 44, 48, 62
Team 15: 29, 37, 43, 54
Team 16: 33, 39, 41, 53
================================================================
Solved # rounds = 4 in 7.18s
Round 1
Team 1: 0, 1, 2, 3
Team 2: 4, 5, 6, 7
Team 3: 8, 9, 10, 11
Team 4: 12, 13, 14, 15
Team 5: 16, 17, 18, 19
Team 6: 20, 21, 22, 23
Team 7: 24, 25, 26, 27
Team 8: 28, 29, 30, 31
Team 9: 32, 33, 34, 35
Team 10: 36, 37, 38, 39
Team 11: 40, 41, 42, 43
Team 12: 44, 45, 46, 47
Team 13: 48, 49, 50, 51
Team 14: 52, 53, 54, 55
Team 15: 56, 57, 58, 59
Team 16: 60, 61, 62, R
Round 2
Team 1: 0, 9, 35, 37
Team 2: 1, 31, 47, 61
Team 3: 2, 4, 20, 46
Team 4: 3, 12, 30, 48
Team 5: 5, 18, 32, 43
Team 6: 6, 16, 21, 49
Team 7: 7, 25, 28, 42
Team 8: 8, 19, 39, 62
Team 9: 10, 33, 50, 55
Team 10: 11, 13, 45, 51
Team 11: 14, 17, 36, 41
Team 12: 15, 26, 38, R
Team 13: 22, 52, 58, 60
Team 14: 23, 29, 53, 56
Team 15: 24, 40, 44, 59
Team 16: 27, 34, 54, 57
